a,b
2072,1478
5817,3795
8743,18573
13685,1859
10139,6821
14490,2026
11498,10752
27800,22561
16742,7546
356,7518
44,1347
5239,7506
8051,4265
2874,1626
4537,594
1037,1457
28343,24474
285,996
8640,4950
26642,19864
7361,2350
16933,1810
17705,8234
2919,3056
7296,13028
4038,7215
5029,9794
10241,18101
13750,5177
16251,4417
16436,15724
1384,26775
12671,5001
701,158
7541,1910
2417,3360
25867,25340
2450,1510
6737,12281
22300,12621
8877,10868
22898,16244
6549,1363
22953,24768
27362,5990
11248,8202
7512,9202
4680,5921
13147,12111
3890,325
9017,280
25,11238
12710,6145
7687,20178
7675,20851
7858,7559
27290,16445
301,274
11858,3583
6597,5660
10728,3291
8444,6579
9185,4095
10184,6116
14482,8544
25733,19786
282,65
2796,1261
25742,27609
21498,15990
16098,9409
2861,1403
28572,5217
3831,792
3696,4717
6303,7775
9654,8501
3667,875
9850,1589
2786,1062
7997,871
28037,16260
19010,3753
9128,11511
22162,12184
12996,13679
5730,7649
15753,1340
15670,16082
12194,10595
20234,878
2917,353
21558,19905
22123,12048
20294,17579
25145,13670
29357,27782
7788,2002
13988,4986
21284,11615
517,695
14630,5167
3132,5511
3181,502
21348,3337
2838,2317
323,64
14392,5979
3541,2370
19704,15343
1639,8818
6283,5338
7646,1759
1656,4631
101,91
10988,8363
1962,1878
1069,172
14703,2570
474,254
13221,4431
29814,20711
204,427
23867,17759
2534,794
1093,15197
5988,2624
11418,1263
16868,11712
8371,1256
697,30
19989,11067
10626,12030
12873,1603
125,10103
19909,5711
9416,5404
1395,800
10080,8035
1093,1213
11728,745
9028,4689
16938,9196
244,1309
1717,132
11249,3075
10041,9358
4787,13155
22306,2937
6916,4596
1710,1079
29056,19304
3316,2136
10944,15411
8848,829
10554,14787
7389,9964
22987,5793
243,1356
12863,5751
1806,373
18337,8540
4905,1586
22573,11498
19888,8039
4777,3911
5617,10556
6520,3877
10062,826
26943,21389
2881,775
16694,20321
13302,12533
16170,8493
3583,17179
11148,6756
8395,7950
25647,5171
19780,19156
11475,1982
19177,15355
23085,9602
637,616
10316,2368
23182,22771
12757,5633
23563,21251
11348,843
29092,21008
8277,4606
1536,1072
15580,11745
22724,20025
25642,21115
2554,8423
466,232
12802,3687
12852,8983
4905,4251
5255,15738
16770,1375
8966,8106
3279,1387
1855,1154
5463,2945
594,127
9290,7575
979,715
6076,15686
13119,10172
24979,12639
29783,6547
5636,3176
1709,1593
28636,19050
741,333
5578,1484
3427,3614
18462,17355
4701,14135
27194,17163
4432,20
21594,9382
8825,10217
2178,328
16161,14094
6622,5943
22202,11938
846,827
25120,22801
8503,2197
10158,5536
1203,1398
3682,3163
18901,10962
6057,2636
4262,1679
80,69
18243,17795
25998,6853
3565,750
13114,8765
14647,3860
1304,78
11378,5872
22391,7706
13667,10202
24921,3107
8999,4919
25149,24293
13089,4639
27706,26028
28102,4787
56,29
3067,3035
18065,10428
1039,5474
506,2281
1391,2652
13165,6001
9432,13208
2519,1760
27911,8159
5943,2706
7202,2426
2888,313
29784,17746
1054,3299
12239,7006
11582,6263
12864,12327
3085,2918
5075,4825
1716,5459
7104,3780
11764,8145
5410,794
61,103
18284,8225
66,9468
1633,1179
785,107
967,391
11320,4816
28180,4481
6337,5224
2969,2190
14481,6263
9054,4441
411,265
12280,19424
2501,701
60,16
17094,14076
15587,6388
1759,49
2618,194
16026,14725
25195,2138
11543,15872
20287,6231
8475,19018
13614,7342
41,933
15544,5833
6042,2584
7436,3759
27471,21996
14960,8745
22015,3534
11634,7886
8029,3361
3160,4899
8686,15617
3668,10131
3615,451
11436,8087
14646,1376
3380,1936
2992,6416
11336,7970
22600,21282
14813,11284
1969,1750
9254,5591
15230,11231
3644,1440
21624,16417
26362,2379
8294,6758
15381,5622
19384,4048
1464,773
28612,7630
16046,2976
341,2855
25928,879
14595,2949
23114,14600
7798,6178
13621,896
6069,2742
2359,2243
4367,2822
10962,7517
20623,11304
17093,14043
4217,3267
4230,3886
6731,2061
6219,6442
22388,21859
17443,13239
17325,12964
4124,3720
3953,152
28937,26137
899,654
9070,1334
1371,146
8586,237
21069,2916
18557,2197
5853,1131
20760,6798
3307,19482
11536,1525
1994,6305
26147,16614
13633,2378
29491,16340
22477,21877
5097,6759
2424,4862
586,7333
1764,1542
4528,15650
618,850
15892,764
1422,19418
1324,1246
3099,14146
13495,1613
12233,9542
1291,723
5155,781
4246,15510
4838,3477
13260,1573
1496,782
18664,8073
28084,19812
13300,16145
358,16048
3905,4194
15481,7114
836,678
1647,450
10684,7563
29438,7278
22605,11065
28836,21393
628,512
333,9297
10067,2540
2783,2356
692,561
2167,2099
2109,1489
10486,16792
20805,8049
8466,5432
11716,7876
14480,12317
21924,13754
8549,5748
17445,15386
9908,2918
332,3371
1953,1191
15400,11164
26694,15643
1556,1028
1122,412
6990,4208
17231,16629
27757,7963
25541,11764
7862,775
11829,6789
6377,8837
13552,11443
20335,1274
5310,3189
8935,2618
1301,8854
18407,4922
22489,17535
10693,6727
25460,5346
27477,20950
24363,24350
4773,953
20427,9143
10382,661
5768,6268
9570,15279
1999,15
5051,6371
9561,13129
17397,15776
11043,970
17333,1058
29465,16614
301,2256
10101,8131
440,312
5474,13750
4305,3898
21473,19678
25377,19870
26428,26168
21886,23654
1468,14866
16580,6951
23097,484
6409,6772
6263,6123
26187,13275
2969,2792
22000,18008
25192,7237
8919,382
17178,5326
27252,9529
14251,3051
17378,5234
9318,11649
9179,6585
9496,12323
4577,2089
6538,6273
23555,15590
3685,9313
20724,271
19428,1716
14528,4636
5500,3045
10730,10123
28322,13747
3619,4109
11909,11633
9674,1523
1007,1183
308,299
14528,7143
3702,4755
9726,12465
8720,6906
5870,12910
2447,2372
10510,1283
3382,1825
1576,16486
24631,22092
8118,1920
24257,2133
146,205
13170,5741
16185,6494
630,365
9288,7216
16379,15849
21891,16612
6458,4897
19275,14661
7138,6047
17418,336
24870,1216
19266,17697
9480,5780
9620,3261
19027,22328
12658,3078
3962,1156
9635,9446
10006,1446
9378,4824
11894,7102
29004,11183
5640,8120
8445,1470
11007,2163
19477,16779
20071,594
5669,372
18441,16484
6809,1238
23566,20349
192,5109
29140,693
8777,784
8911,2985
10182,5307
7469,4979
12402,4683
29455,9968
8748,6818
19556,19356
10546,3107
12799,11209
3873,59
16407,10621
8256,13528
12809,2443
9544,8210
12796,5421
19829,8300
28109,1108
10338,2020
4180,1710
664,52
27128,26644
19420,12306
20625,636
10730,8903
5185,8986
5801,5833
22324,8350
4441,3655
23017,8637
15010,10678
511,3128
14411,8571
3325,1816
9975,4652
2426,880
135,1558
29,15
1133,11626
24827,19208
15755,16633
811,10474
14821,18277
881,3232
23059,18938
29584,9283
303,9212
18470,17571
25130,6702
29442,5314
16942,2403
25682,10750
14684,7283
9765,387
16300,6243
1646,1788
12659,1298
2214,2591
3157,2173
5037,2821
9394,1243
7795,4152
19137,11374
4269,3227
3341,7271
25786,1444
4742,1718
6015,9022
14315,6086
91,2909
3628,6178
11022,24746
16264,8119
8086,8517
2112,587
13449,7664
20411,735
17316,15060
29772,4572
5757,7985
10447,17307
17975,8106
22679,456
13587,13307
23398,9411
11064,5699
17638,11768
15900,13125
19228,12850
12700,2827
13163,9090
29657,8536
3636,3585
7638,5999
13587,17563
22402,17803
20579,1842
14086,4792
8775,18239
27809,22076
29446,6555
7799,6814
4497,1318
16907,10846
14429,1035
10962,12777
11286,390
28511,25721
15605,13106
14005,7725
7535,6041
19788,1024
24564,13301
6295,10242
1268,861
5366,4146
11513,2881
11197,10595
8394,5568
4223,1301
11,108
13483,1356
16905,15235
14350,5362
27885,12253
10365,14426
280,234
4007,180
12901,485
24072,9750
11720,1290
13251,10357
3439,711
29514,26580
17414,7276
12858,12557
8673,11531
26247,17879
16403,2546
22048,1621
2281,1935
25744,1220
1173,258
717,6746
2507,1533
149,1706
19131,13163
7126,4253
5126,2223
16920,6442
337,4242
6554,5953
26991,4052
8949,14615
446,375
854,80
14568,10474
2414,699
15113,14091
26955,16833
16279,13266
14,10
12985,11371
12389,7434
24402,19449
21998,19300
12589,3556
28030,6748
24296,5213
10974,208
13361,1612
198,182
27253,9351
20670,19245
8784,2764
8723,3615
11361,950
12051,3121
3021,17082
6057,19075
17565,598
4975,6251
6434,23244
27534,18126
20136,14182
18615,685
5892,3709
29129,13293
7337,13013
1678,13799
9424,1014
15289,10637
4392,14899
20981,489
404,550
1146,17
6050,8704
18802,4286
9668,1761
26380,16342
1302,1622
14122,8710
839,10014
27976,4488
15372,10641
27072,27017
10614,1386
22721,21931
24355,12561
19360,16727
4873,532
26148,3624
17006,8500
28027,1500
736,2
10673,8937
897,175
25716,2172
7540,8787
2782,11833
13278,8562
10815,6465
1046,323
3400,3939
12425,8672
15037,5415
2693,2085
353,3960
29495,24886
14630,970
14126,8583
28337,18367
12811,17275
7569,6455
114,31
22314,17984
3528,1275
1430,2209
26218,8247
27211,9811
1532,307
28495,8977
7651,4972
19255,7089
1487,2337
4912,5952
7029,8959
2395,1579
1216,7583
16199,9087
8835,11727
16414,22220
22552,17096
10956,11291
6469,15947
333,5806
11191,8540
26619,18956
1122,1121
7599,4385
2989,166
1487,8778
11800,5956
21831,9170
24592,11674
3056,11758
24686,6889
14884,6273
1549,5845
1325,3105
22988,12546
15745,2935
2643,13169
8242,3950
26916,1166
628,1276
3121,3052
5114,2407
2635,1132
23620,16734
2485,1817
2358,25
15030,8214
26887,18214
24324,20388
26707,1476
1863,327
16363,1859
2279,569
18757,942
29201,27258
16390,1754
24942,20194
80,652
2355,690
2087,219
13917,12983
4320,2821
13707,2587
18703,3090
21596,12635
23445,15903
729,9955
2880,1922
11560,5679
960,250
5210,4961
8090,3109
10934,7303
1639,3391
23524,15606
9375,990
18807,6648
7410,7892
9498,6991
4600,2003
17274,5620
493,3107
2989,814
5705,5442
11226,7069
2556,9110
19372,18366
6720,6020
4056,3190
11423,227
28375,10630
17069,15520
28225,17334
3802,1021
4959,12389
11591,9671
24599,17193
1339,5066
10907,4497
10525,2317
29419,4123
2787,49
13075,5025
6988,2851
20353,9474
4425,923
12038,1970
7074,6076
23309,11309
21555,19142
16097,1743
2682,1924
29352,1531
5849,1379
1708,291
17142,3390
3263,476
14362,5336
27896,24137
6499,4163
2366,1774
18645,1794
8401,1662
10880,21439
538,1488
26682,4912
14835,926
6773,2318
15132,8517
8112,4197
25473,9709
4600,18458
23681,12644
5522,14961
4981,4062
27165,23809
6852,10775
21518,7328
4689,10007
1637,246
10993,18789
4830,257
18860,6228
3349,602
23553,11736
18874,16451
20691,26831
18529,4201
15446,3595
11132,11111
10438,2415
12981,5490
14715,10970
3469,4975
29401,20998
3610,3708
1092,11597
6019,10824
8905,14384
3097,5519
3000,2326
3719,2283
419,4388
434,32
2293,833
1818,4195
46,173
8640,8396
2120,265
9398,8307
29368,21827
19055,4270
366,3234
10071,8536
3929,2780
7166,2413
26050,7165
2636,404
15578,1499
24971,14690
2026,9260
1041,8920
1744,1646
3347,3146
6062,2708
25018,18803
2687,6079
1931,12109
17908,624
9196,953
1485,1233
8343,1742
4784,10267
1437,1346
11882,3540
7235,6962
5619,480
3109,1121
67,666
528,152
26610,12072
28698,18163
2437,14147
2056,1913
8322,1863
13938,9911
15459,2767
15813,6463
16981,12884
12771,11043
14985,20571
1625,11937
14873,10964
12106,9527
19708,16813
23523,15536
5852,3353
15499,1677
7796,7002
18360,3752
18991,18882
17202,5346
7288,1349
243,155
9241,12551
14998,15443
10201,6816
9020,20513
1515,2933
842,829
5562,1593
24518,12613
6800,3537
60,1234
8295,20962
1282,661
11459,9409
16045,6084
8454,5301
28808,27912
19803,9349
5091,3056
892,26
2175,30
15362,6648
10149,2109
24313,11901
22852,13573
1334,848
859,368
6794,5525
4591,14406
3926,2118
27558,22102
651,588
6805,6968
999,3124
10477,1697
19837,26792
11726,6718
847,820
26210,12959
14321,1451
15050,5145
5400,1636
1762,1325
10651,5489
17331,1772
3715,5289
13393,4748
13164,3997
15496,3035
8556,4067
9069,2071
198,331
9866,9200
22031,16254
12665,9043
735,112
5729,3406
18549,9079
25586,14831
6050,5420
601,116
6460,6105
12334,9067
19867,11255
4506,3957
18550,10007
27444,24888
84,21
582,3964
20207,12768
11362,9940
4848,3233
21713,15926
16357,25626
9174,5629
18682,15729
7399,14570
25477,8060
3022,266
10439,6741
18587,3636
23313,294
6966,2289
4022,7610
16101,8109
25296,8156
29031,28819
4449,21693
11605,26770
16730,12780
8920,19827
825,7524
5668,1583
14541,5295
11478,3280
25230,21869
15101,13025
5856,7882
2627,14160
18957,4937
9014,7210
4374,7008
19523,1499
870,71
3985,4234
6217,1342
916,6542
15053,2775
22197,21845
10872,2215
5611,2853
2128,13417
24966,24541
28248,4518
27373,25039
2497,4975
20292,919
18528,17605
5652,9139
7564,5053
12556,8253
18691,10320
6630,14277
5321,7405
6537,8800
14252,3156
3214,8708
18613,10568
730,2242
2630,1588
3204,2403
1105,186
